raw,nemo,number_parser,raw_indic_conformer,raw_google_speech,raw_slang_google_speech,nemo_indic_conformer,nemo_google_speech,nemo_slang_google_speech,np_indic_conformer,np_google_speech,np_slang_google_speech
"approve the pay request that i have from zerodha,approve the pay request that i have from 0dha","approve the pay request that i have from zerodha,approve the pay request that i have from 0dha","approve the pay request that i have from zerodha,approve the pay request that i have from 0dha",approve the pay request that i have from zerodar,approve the request that i have from zerodha,approve the request that i have from zerodha,approve the pay request that i have from zerodar,approve the request that i have from zerodha,approve the request that i have from zerodha,approve the pay request that i have from zerodar,approve the request that i have from zerodha,approve the request that i have from zerodha
"show offers related to HDFC credit card,show offers related to hdfc credit card","show offers related to hdfc credit card,show offers related to hdfc credit card","show offers related to hdfc credit card,show offers related to hdfc credit card",show offers related to htfc credit card,show offers related to hdfc credit card,show offers related to hdfc credit card,show offers related to htfc credit card,show offers related to hdfc credit card,show offers related to hdfc credit card,show offers related to htfc credit card,show offers related to hdfc credit card,show offers related to hdfc credit card
"i want to donate two thousand rupees to the pradhana mantri yojana for gramina yojana,i want to donate 2000 rupees to the pradhana mantri yojana for gramina yojana","i want to donate rs2000 to the pradhana mantri yojana for gramina yojana,i want to donate 2000 rupees to the pradhana mantri yojana for gramina yojana","i want to donate 2000 rupees to the pradhana mantri yojana for gramina yojana,i want to donate 2000 rupees to the pradhana mantri yojana for gramina yojana",i want to donate two thousand rupees to the pradhan mantri yojana for gramin yojana,i want to donate 2000 rupees to the pradhan mantri yojana for gramin yojana,i want to donate 2000 rupees to the pradhan mantri yojana for gramin yojana,i want to donate rs2000 to the pradhan mantri yojana for gramin yojana,i want to donate 2000 rupees to the pradhan mantri yojana for gramin yojana,i want to donate 2000 rupees to the pradhan mantri yojana for gramin yojana,i want to donate 2000 rupees to the pradhan mantri yojana for gramin yojana,i want to donate 2000 rupees to the pradhan mantri yojana for gramin yojana,i want to donate 2000 rupees to the pradhan mantri yojana for gramin yojana
"would like to pay my gas bill,would like to pay my gas bill","would like to pay my gas bill,would like to pay my gas bill","would like to pay my gas bill,would like to pay my gas bill",would like to pay my gas bill,my gas bill,my gas bill,would like to pay my gas bill,my gas bill,my gas bill,would like to pay my gas bill,my gas bill,my gas bill
"please request vishal to send me money which is of two hundred rupees,please request vishal to send me money which is of 200 rupees","please request vishal to send me money which is of rs200,please request vishal to send me money which is of 200 rupees","please request vishal to send me money which is of 200 rupees,please request vishal to send me money which is of 200 rupees",please request shal to send me money which is of two hundred rupees,please request vishal to send me money which is of 200 rupees,please request vishal to send me money which is of 200 rupees,please request shal to send me money which is of rs200,please request vishal to send me money which is of 200 rupees,please request vishal to send me money which is of 200 rupees,please request shal to send me money which is of 200 rupees,please request vishal to send me money which is of 200 rupees,please request vishal to send me money which is of 200 rupees
"receive five k from vinayak,receive 5000 from vinayak","receive five k from vinayak,receive 5000 from vinayak","receive 5000 from vinayak,receive 5000 from vinayak",receive pive k from minaak,receive 5k from vinayak,receive 5k from vinayak,receive pive k from minaak,receive 5k from vinayak,receive 5k from vinayak,receive pive k from minaak,receive 5000 from vinayak,receive 5000 from vinayak
"request five hundred from neelam for sandwich delivery,request 500 from neelam for sandwich delivery","request 500 from neelam for sandwich delivery,request 500 from neelam for sandwich delivery","request 500 from neelam for sandwich delivery,request 500 from neelam for sandwich delivery",request five hundred from nelum for sandwich delivery,request 500 from neelam for sandwich delivery,request 500 from neelam for sandwich delivery,request 500 from nelum for sandwich delivery,request 500 from neelam for sandwich delivery,request 500 from neelam for sandwich delivery,request 500 from nelum for sandwich delivery,request 500 from neelam for sandwich delivery,request 500 from neelam for sandwich delivery
"show my bank balance,show my bank balance","show my bank balance,show my bank balance","show my bank balance,show my bank balance",show my bang balance,show my bank balance,show my bank balance,show my bang balance,show my bank balance,show my bank balance,show my bang balance,show my bank balance,show my bank balance
"send hundred eight rupees to nagesh ironwala,send 108 rupees to nagesh ironwala","send hundred rs8 to nagesh ironwala,send 108 rupees to nagesh ironwala","send 108 rupees to nagesh ironwala,send 108 rupees to nagesh ironwala",send one hundred eight rupees to nagesh ironwala,send hundred rupees to nagesh iron wala,send hundred rupees to nagesh iron wala,send rs108 to nagesh ironwala,send hundred rupees to nagesh iron wala,send hundred rupees to nagesh iron wala,send 108 rupees to nagesh ironwala,send 100 rupees to nagesh iron wala,send 100 rupees to nagesh iron wala
"what are the active IPOs that i can invest my money in,what are the active ipos that i can invest my money in","what are the active ipos that i can invest my money in,what are the active ipos that i can invest my money in","what are the active ipos that i can invest my money in,what are the active ipos that i can invest my money in",what are the active ips that i can invest my money in,what are the activities that i can invest my money in,what are the activities that i can invest my money in,what are the active ips that i can invest my money in,what are the activities that i can invest my money in,what are the activities that i can invest my money in,what are the active ips that i can invest my money in,what are the activities that i can invest my money in,what are the activities that i can invest my money in
"pay my gas cylinder bill of one thousand rupees,pay my gas cylinder bill of 1000 rupees","pay my gas cylinder bill of rs1000,pay my gas cylinder bill of 1000 rupees","pay my gas cylinder bill of 1000 rupees,pay my gas cylinder bill of 1000 rupees",pay my gas cylinder bill of one thousand rupees,pay my gas cylinder bill of 1000 rupees,pay my gas cylinder bill of 1000 rupees,pay my gas cylinder bill of rs1000,pay my gas cylinder bill of 1000 rupees,pay my gas cylinder bill of 1000 rupees,pay my gas cylinder bill of 1000 rupees,pay my gas cylinder bill of 1000 rupees,pay my gas cylinder bill of 1000 rupees
"scan and send three thousand rupees,scan and send 3000 rupees","scan and send rs3000,scan and send 3000 rupees","scan and send 3000 rupees,scan and send 3000 rupees",scan it send three thousand rupees,scan epson 3000 rupees,scan epson 3000 rupees,scan it send rs3000,scan epson 3000 rupees,scan epson 3000 rupees,scan it send 3000 rupees,scan epson 3000 rupees,scan epson 3000 rupees
